Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
"Vivo V7+ (Energetic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.21 cm (5.99 inch) HD Display,16MP Rear Camera | 24MP Front Camera,3225 mAh Li-ion Battery,Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor,"22,221"
"Vivo V5s Perfect Selfie (Energetic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Li-Ion Battery,MediaTek MT6750 Processor,"18,990"
"Vivo Y55L (Grey, 16 GB)",2 GB RAM | 16 GB ROM |,13.21 cm (5.2 inch) Display,8MP Rear Camera | 5MP Front Camera,2650 mAh Battery,qualcomm 0 Octa Core 1.4GHz Processor,"8,499"
"Vivo V5Plus Limited Edition (Matte Black, 64 GB)",4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Full HD Display,16MP Rear Camera | 20MP + 8MP Dual Front Camera,3055 mAh Battery,Qualcomm Snapdragon 625 64-bit Octa Core 2 GHz Processor,"25,990"
"Vivo V5 (Space Grey, 32 GB)",4 GB RAM | 32 GB ROM | Expandable Upto 128 GB,13.97 cm (5.5 inch) HD Display,13MP Rear Camera | 20MP Front Camera,3000 mAh Battery,MediaTek MT6750 64-bit Octa Core 1.5GHz Processor,"17,980"
"Vivo Y53 (Space Grey, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,12.7 cm (5 inch) Display,8MP Rear Camera | 5MP Front Camera,2500 mAh Li-Ion Battery,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz Processor,"9,990"
"Vivo Y55S (Grey, 16 GB)",3 GB RAM | 16 GB ROM | Expandable Upto 256 GB,13.21 cm (5.2 inch) HD Display,13MP Rear Camera | 5MP Front Camera,2730 mAh Li-Ion Battery,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz Processor,"13,490"
"Vivo Y55L (Gold, 16 GB)",2 GB RAM | 16 GB ROM | Expandable Upto 128 GB,13.21 cm (5.2 inch) HD Display,8MP Rear Camera | 5MP Front Camera,2650 mAh Battery,Qualcomm Snapdragon 430 Octa Core 1.4GHz Processor,"5,999"
"Vivo Y21L (White, 16 GB)",1 GB RAM | 16 GB ROM | Expandable Upto 128 GB,11.43 cm (4.5 inch) Display,5MP Rear Camera | 2MP Front Camera,2000 mAh Battery,Qualcomm Snapdragon 410 Quad Core 1.2GHz Processor,"5,990"
"Vivo V3 (Rose Gold, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 128,12.7 cm (5 inch) HD Display,13MP Rear Camera | 8MP Front Camera,2550 mAh Li-Ion Battery,Qualcomm Snapdragon 616 Octa-core 1.5GHz Processor,"8,599"
